protocol,qos,side,file_size,sender_duration,receiver_duration,latency,payload_overhead,overhead_pct,goodput_mbps,integrity_ok,avg_cpu_usage,peak_ram_usage,energy_est
mqtt,0,receiver,0.244140625,X,0.00,0.0121,X,,829.404,True,,,
mqtt,0,sender,0.244140625,0.01,X,0.0005,,,195.088,,,,
mqtt,0,receiver,1.0,X,0.01,0.0260,X,,871.412,True,,,
mqtt,0,sender,1.0,0.02,X,0.0003,,,426.415,,,,
mqtt,0,receiver,5.0,X,0.07,0.0143,X,,611.987,True,,,
mqtt,0,sender,5.0,0.06,X,0.0002,,,686.198,,,,
mqtt,0,receiver,20.0,X,0.24,0.0132,X,,710.378,True,,,
mqtt,0,sender,20.0,0.19,X,0.0003,,,891.379,,,,
mqtt,0,receiver,50.0,X,0.62,0.0137,X,,681.477,True,,,
mqtt,0,sender,50.0,0.45,X,0.0003,,,928.689,,,,
mqtt,1,receiver,0.244140625,X,0.00,0.0074,X,,874.938,True,,,
mqtt,1,sender,0.244140625,0.01,X,0.0006,,,255.068,,,,
mqtt,1,receiver,1.0,X,0.01,0.0128,X,,852.989,True,,,
mqtt,1,sender,1.0,0.02,X,0.0007,,,410.840,,,,
mqtt,1,receiver,5.0,X,0.06,0.0119,X,,648.491,True,,,
mqtt,1,sender,5.0,0.07,X,0.0006,,,570.514,,,,
mqtt,1,receiver,20.0,X,0.25,0.0101,X,,677.677,True,,,
mqtt,1,sender,20.0,0.25,X,0.0005,,,660.940,,,,
mqtt,1,receiver,50.0,X,0.63,0.0104,X,,666.776,True,,,
mqtt,1,sender,50.0,0.64,X,0.0006,,,659.899,,,,
mqtt,2,receiver,0.244140625,X,0.00,0.0086,X,,762.569,True,,,
mqtt,2,sender,0.244140625,0.01,X,0.0012,,,187.267,,,,
mqtt,2,receiver,1.0,X,0.01,0.0131,X,,699.342,True,,,
mqtt,2,sender,1.0,0.02,X,0.0009,,,408.755,,,,
mqtt,2,receiver,5.0,X,0.06,0.0127,X,,698.807,True,,,
mqtt,2,sender,5.0,0.07,X,0.0009,,,608.093,,,,
mqtt,2,receiver,20.0,X,0.35,0.0126,X,,477.857,True,,,
mqtt,2,sender,20.0,0.36,X,0.0008,,,465.514,,,,
mqtt,2,receiver,50.0,X,0.63,0.0127,X,,660.709,True,,,
mqtt,2,sender,50.0,0.64,X,0.0008,,,653.680,,,,
